S.No.|marca modelo|año fabricacion|kilometros|tipo combustible|transmisión|tipo de dueño|rendimiento|motor|potencia|asientos|precio venta
638|Hyundai Xcent 1.2 Kappa S Option|2017|28360|Petroleo|Manual|Primer|19.1 kmpl|1197 CC|81.86 bhp|5.0|5120.0
639|Maruti Ignis 1.2 Alpha|2017|7000|Petroleo|Manual|Primer|20.89 kmpl|1197 CC|81.80 bhp|5.0|5700.0
640|BMW 5 Series 2013-2017 520d Luxury Line|2016|19658|Diesel|Automatico|Primer|18.12 kmpl|1995 CC|190 bhp|5.0|35840.0
641|Ford Ikon 1.3 CLXi|2007|92000|Petroleo|Manual|Primer|13.8 kmpl|1299 CC|70 bhp|5.0|1250.0
642|Hyundai i10 Sportz|2013|25000|Petroleo|Manual|Primer|20.36 kmpl|1197 CC|78.9 bhp|5.0|2650.0
643|Hyundai Verna 1.6 CRDI|2016|37882|Diesel|Manual|Primer|22.32 kmpl|1582 CC|126.3 bhp|5.0|9190.0
644|BMW 3 Series 320d Highline|2014|69330|Diesel|Automatico|Primer|16.07 kmpl|1995 CC|181 BHP|5.0|23500.0
645|Mercedes-Benz E-Class 2009-2013 E200 CGI Blue Efficiency|2011|61000|Petroleo|Automatico|Primer|12.3 kmpl|1796 CC|185 bhp|5.0|12500.0
646|Chevrolet Beat Option Pack|2010|35000|Petroleo|Manual|Segundo|18.6 kmpl|1199 CC|79.4 bhp|5.0|1500.0
647|Hyundai Santro Xing XP|2004|200000|Petroleo|Manual|Primer|0.0 kmpl|1086 CC|null bhp|5.0|800.0
648|Tata Indica DLS|2009|82000|Diesel|Manual|Segundo|13.5 kmpl|1405 CC|null bhp|5.0|750.0
649|Mahindra XUV500 W8 2WD|2012|72450|Diesel|Manual|Primer|15.1 kmpl|2179 CC|140 bhp|7.0|8100.0
650|Maruti Ciaz ZDi Plus SHVS|2017|36381|Diesel|Manual|Primer|28.09 kmpl|1248 CC|88.5 bhp|5.0|9750.0
651|Mercedes-Benz New C-Class C 250 CDI Avantgarde|2017|25559|Diesel|Automatico|Primer|19.71 kmpl|2143 CC|201.15 bhp|5.0|37930.0
652|Honda City ZX CVT|2005|100000|Petroleo|Automatico|Tercer|16.4 kmpl|1497 CC|78 bhp|5.0|1960.0
653|Toyota Fortuner 4x2 4 Speed AT|2015|94000|Diesel|Automatico|Primer|11.5 kmpl|2982 CC|169 bhp|7.0|20500.0
654|Maruti Alto K10 VXI|2011|64357|Petroleo|Manual|Primer|24.07 kmpl|998 CC|67.1 bhp|5.0|2750.0
655|Jaguar XJ 2.0L Portfolio|2017|10501|Petroleo|Automatico|Primer|9.43 kmpl|1999 CC|237.4 bhp|5.0|75000.0
656|Hyundai i20 1.4 Magna ABS|2009|47000|Diesel|Manual|Primer|21.9 kmpl|1396 CC|90 bhp|5.0|2800.0
657|Honda BRV i-VTEC V CVT|2017|18000|Petroleo|Automatico|Primer|16.0 kmpl|1497 CC|117.3 bhp|7.0|9250.0
658|Toyota Corolla Executive (HE)|2007|89000|Petroleo|Manual|Primer|13.4 kmpl|1794 CC|125 bhp|5.0|3000.0
659|Audi A6 2011-2015 2.0 TDI Premium Plus|2014|49964|Diesel|Automatico|Primer|17.68 kmpl|1968 CC|174.33 bhp|5.0|23890.0
660|Toyota Innova 2.5 ZX Diesel 7 Seater BSIII|2014|35000|Diesel|Manual|Primer|12.99 kmpl|2494 CC|100.6 bhp|7.0|12750.0
661|Hyundai Grand i10 CRDi Sportz|2014|64000|Diesel|Manual|Primer|24.0 kmpl|1120 CC|70 bhp|5.0|4150.0
662|Volkswagen Vento IPL II Petrol Highline AT|2013|36000|Petroleo|Automatico|Primer|14.8 kmpl|1598 CC|105 bhp|5.0|4650.0
663|Toyota Innova 2.5 VX (Diesel) 7 Seater BS IV|2012|78600|Diesel|Manual|Primer|12.8 kmpl|2494 CC|102 bhp|7.0|8900.0
664|Hyundai Verna CRDi SX|2008|170000|Diesel|Manual|Segundo|16.8 kmpl|1493 CC|110 bhp|5.0|1500.0
665|Maruti Ritz VDi|2015|65000|Diesel|Manual|Segundo|23.2 kmpl|1248 CC|73.94 bhp|5.0|3270.0
666|Audi Q7 3.0 TDI Quattro Technology|2008|120300|Diesel|Automatico|Segundo|12.07 kmpl|2967 CC|241.4 bhp|7.0|18000.0
667|Hyundai i20 Asta Option 1.2|2016|21000|Petroleo|Manual|Primer|18.6 kmpl|1197 CC|81.83 bhp|5.0|6300.0
668|Maruti Vitara Brezza ZDi Plus Dual Tone|2017|18108|Diesel|Manual|Primer|24.3 kmpl|1248 CC|88.5 bhp|5.0|11310.0
669|Honda City i VTEC S|2014|58407|Petroleo|Manual|Primer|17.4 kmpl|1497 CC|117.3 bhp|5.0|6160.0
670|Maruti Ciaz ZXi|2014|49500|Petroleo|Manual|Primer|20.73 kmpl|1373 CC|91.1 bhp|5.0|6000.0
671|Nissan Sunny XV CVT|2013|37199|Petroleo|Automatico|Primer|17.5 kmpl|1498 CC|99.6 bhp|5.0|5430.0
672|Volkswagen Polo Diesel Highline 1.2L|2012|62000|Diesel|Manual|Primer|22.07 kmpl|1199 CC|73.9 bhp|5.0|4650.0
673|Maruti Ertiga ZDI|2015|59000|Diesel|Manual|Primer|20.77 kmpl|1248 CC|88.8 bhp|7.0|7500.0
674|Maruti Swift Dzire VDI|2015|60000|Diesel|Manual|Primer|26.59 kmpl|1248 CC|74 bhp|5.0|6250.0
675|Mercedes-Benz New C-Class C 220 CDI Elegance AT|2007|39037|Diesel|Automatico|Primer|14.84 kmpl|2143 CC|170 bhp|5.0|9250.0
676|Honda Brio S MT|2013|17003|Petroleo|Manual|Primer|19.4 kmpl|1198 CC|86.8 bhp|5.0|3150.0
677|Hyundai i10 Magna Optional 1.1L|2008|80400|Petroleo|Manual|Primer|16.0 kmpl|1086 CC|66.7 bhp|5.0|2300.0
678|Hyundai Verna 1.6 SX CRDi (O)|2012|75200|Diesel|Manual|Primer|22.32 kmpl|1582 CC|126.32 bhp|5.0|5250.0
679|Maruti Ciaz VDI SHVS|2017|41217|Diesel|Manual|Primer|28.09 kmpl|1248 CC|88.5 bhp|5.0|7400.0
680|Ford Ikon 1.3 Flair|2006|98293|Petroleo|Manual|Segundo|13.8 kmpl|1299 CC|70 bhp|5.0|1550.0
681|Volkswagen Polo 1.2 MPI Highline|2017|54000|Petroleo|Manual|Segundo|16.2 kmpl|1199 CC|74 bhp|5.0|6000.0
682|Honda Jazz 1.2 V i VTEC|2016|17377|Petroleo|Manual|Primer|18.7 kmpl|1199 CC|88.7 bhp|5.0|5900.0
683|Honda Amaze EX i-Dtech|2013|33800|Diesel|Manual|Segundo|25.8 kmpl|1498 CC|98.6 bhp|5.0|4700.0
684|Hyundai i20 Asta 1.4 CRDi|2015|86157|Diesel|Manual|Primer|22.54 kmpl|1396 CC|88.73 bhp|5.0|6500.0
685|Maruti Ritz VDi|2012|146824|Diesel|Manual|Primer|21.1 kmpl|1248 CC|73.9 bhp|5.0|3550.0
686|Honda City V MT|2014|55000|Petroleo|Manual|Primer|16.8 kmpl|1497 CC|116.3 bhp|5.0|7100.0
687|Skoda Superb 1.8 TSI MT|2010|53293|Petroleo|Manual|Primer|13.14 kmpl|1798 CC|160 bhp|5.0|6000.0
688|Maruti Vitara Brezza LDi Option|2017|38000|Diesel|Manual|Primer|24.3 kmpl|1248 CC|88.5 bhp|5.0|7990.0
689|Hyundai i20 Asta|2009|64000|Petroleo|Manual|Segundo|17.0 kmpl|1197 CC|80 bhp|5.0|4100.0
690|Maruti Alto K10 VXI AGS|2017|25058|Petroleo|Automatico|Primer|24.07 kmpl|998 CC|67.1 bhp|5.0|3950.0
691|Hyundai EON Era Plus|2016|36700|Petroleo|Manual|Primer|21.1 kmpl|814 CC|55.2 bhp|5.0|4380.0
692|Hyundai i10 Sportz|2011|35000|Petroleo|Manual|Primer|20.36 kmpl|1197 CC|78.9 bhp|5.0|2750.0
693|Mercedes-Benz SLK-Class SLK 350|2016|22732|Petroleo|Automatico|Primer|18.1 kmpl|3498 CC|306 bhp|2.0|55540.0
694|Audi A6 2.0 TDI Design Edition|2014|48000|Diesel|Automatico|Primer|18.53 kmpl|1968 CC|187.74 bhp|5.0|29000.0
695|Ford EcoSport 1.5 TDCi Titanium|2013|62084|Diesel|Manual|Primer|22.77 kmpl|1498 CC|98.59 bhp|5.0|6600.0
696|Volkswagen Passat Highline DSG|2012|39273|Diesel|Automatico|Primer|14.3 kmpl|1968 CC|140 bhp|5.0|6990.0
697|Toyota Innova Crysta 2.4 ZX MT|2017|64798|Diesel|Manual|Primer|13.68 kmpl|2393 CC|147.8 bhp|7.0|18750.0
698|Ford Figo Diesel ZXI|2010|100002|Diesel|Manual|Tercer|20.0 kmpl|1399 CC|68 bhp|5.0|1280.0
699|Chevrolet Aveo 1.4|2006|78000|Petroleo|Manual|Tercer|14.49 kmpl|1399 CC|92.7 bhp|5.0|1200.0
700|Maruti Ritz LXi|2013|57717|Petroleo|Manual|Primer|18.5 kmpl|1197 CC|85.80 bhp|5.0|4310.0
701|Land Rover Freelander 2 SE|2011|109000|Diesel|Automatico|Primer|12.39 kmpl|2179 CC|147.51 bhp|5.0|16500.0
702|Hyundai Grand i10 Asta|2017|74515|Petroleo|Manual|Primer|18.9 kmpl|1197 CC|82 bhp|5.0|5640.0
703|Ford Endeavour 3.2 Trend AT 4X4|2017|50484|Diesel|Automatico|Primer|10.91 kmpl|3198 CC|197.2 bhp|7.0|31120.0
704|Audi Q5 2008-2012 2.0 TDI|2013|13452|Diesel|Automatico|Primer|12.8 kmpl|1968 CC|167.6 bhp|5.0|25460.0
705|Hyundai Verna 1.6 VTVT|2017|37688|Petroleo|Manual|Primer|17.01 kmpl|1591 CC|121.3 bhp|5.0|7880.0
706|Mercedes-Benz E-Class 2015-2017 E250 CDI Avantgarde|2017|34000|Diesel|Automatico|Primer|13.0 kmpl|2143 CC|204 bhp|5.0|36000.0
707|Mercedes-Benz M-Class ML 350 4Matic|2014|120000|Diesel|Automatico|Primer|0.0 kmpl|2987 CC|165 bhp|5.0|30000.0
708|Maruti Swift Dzire ZXi|2008|64000|Petroleo|Manual|Segundo|17.5 kmpl|1298 CC|85.8 bhp|5.0|2850.0
709|Honda City 1.3 EXI S|2011|100000|Petroleo|Manual|Primer|13.0 kmpl|1343 CC|90 bhp|5.0|3500.0
710|Renault Duster 85PS Diesel RxL Optional|2014|75000|Diesel|Manual|Primer|20.46 kmpl|1461 CC|83.8 bhp|5.0|7500.0
711|Mercedes-Benz New C-Class 220 CDI AT|2012|86000|Diesel|Automatico|Primer|14.84 kmpl|2143 CC|170 bhp|5.0|19000.0
712|BMW X5 xDrive 30d Design Pure Experience 5 Seater|2015|69000|Diesel|Automatico|Primer|15.97 kmpl|2993 CC|258 bhp|5.0|54000.0
713|Hyundai Xcent 1.2 Kappa SX Option|2015|41721|Petroleo|Manual|Primer|19.1 kmpl|1197 CC|82 bhp|5.0|4700.0
714|Maruti Dzire AMT ZXI Plus|2017|13000|Petroleo|Automatico|Primer|22.0 kmpl|1197 CC|81.80 bhp|5.0|8500.0
715|BMW 3 Series 320d Corporate Edition|2013|38998|Diesel|Automatico|Primer|16.07 kmpl|1995 CC|181 bhp|4.0|17000.0
716|Maruti Alto 800 LXI|2017|54250|Petroleo|Manual|Primer|22.74 kmpl|796 CC|47.3 BHP|5.0|3510.0
717|Audi A4 2.0 TDI 177 Bhp Premium Plus|2013|45979|Diesel|Automatico|Segundo|17.11 kmpl|1968 CC|174.33 bhp|5.0|19500.0
718|Mini-Cooper S|2012|37000|Petroleo|Automatico|Segundo|13.6 kmpl|1598 CC|181 bhp|4.0|17000.0
719|Audi Q7 3.0 TDI Quattro Premium Plus|2015|46983|Diesel|Automatico|Segundo|12.07 kmpl|2967 CC|241.4 bhp|7.0|43350.0
720|Chevrolet Beat Diesel LT|2012|40700|Diesel|Manual|Primer|25.44 kmpl|936 CC|57.6 bhp|5.0|2650.0
721|Maruti Wagon R LXI BS IV|2015|43828|Petroleo|Manual|Primer|20.51 kmpl|998 CC|67.04 bhp|5.0|3520.0
722|Nissan Terrano XV Premium 110 PS|2016|53000|Diesel|Manual|Primer|19.01 kmpl|1461 CC|108.5 bhp|5.0|6250.0
723|BMW 3 Series 320d Luxury Plus|2015|100000|Diesel|Automatico|Primer|18.88 kmpl|1995 CC|184 bhp|5.0|24750.0
724|Maruti Swift Dzire VXI|2015|19000|Petroleo|Manual|Primer|20.85 kmpl|1197 CC|83.14 bhp|5.0|5250.0
725|Skoda Yeti Elegance 4X2|2016|84000|Diesel|Manual|Primer|17.72 kmpl|1968 CC|108.5 bhp|5.0|11000.0
726|Ford EcoSport 1.5 Ti VCT AT Titanium|2018|37630|Petroleo|Automatico|Primer|15.63 kmpl|1499 CC|110.4 bhp|5.0|9100.0
727|Hyundai i20 1.2 Magna|2010|67714|Petroleo|Manual|Primer|18.5 kmpl|1197 CC|80 bhp|5.0|3250.0
728|Maruti S Cross DDiS 200 Sigma Option|2017|32000|Diesel|Manual|Primer|15.0 kmpl|1248 CC|88.5 bhp|5.0|8500.0
729|Hyundai Verna Transform VTVT|2010|51000|Petroleo|Manual|Primer|16.2 kmpl|1599 CC|103.2 bhp|5.0|3100.0
730|BMW 3 Series 320d Luxury Line|2015|58390|Diesel|Automatico|Primer|18.88 kmpl|1995 CC|184 bhp|5.0|19860.0
731|Hyundai Grand i10 1.2 CRDi Magna|2017|14000|Diesel|Manual|Primer|24.0 kmpl|1186 CC|73.97 bhp|5.0|4900.0
732|Honda City i-VTEC V|2014|55818|Petroleo|Manual|Segundo|17.4 kmpl|1497 CC|117.3 bhp|5.0|5700.0
733|Maruti Swift 1.3 VXi|2006|97800|Petroleo|Manual|Tercer|16.1 kmpl||||1750.0
734|Maruti Swift VDI BSIV|2012|52241|Diesel|Manual|Primer|25.2 kmpl|1248 CC|74 bhp|5.0|2900.0
735|Maruti Baleno Zeta 1.3|2018|25433|Diesel|Manual|Primer|27.39 kmpl|1248 CC|74 bhp|5.0|7830.0
736|Tata Safari Storme 2012-2015 LX|2015|40611|Diesel|Manual|Primer|14.0 kmpl|2179 CC|138.1 bhp|7.0|8150.0
737|Hyundai Accent GLS|2008|72000|Petroleo|Manual|Segundo|13.2 kmpl|1495 CC|94 bhp|5.0|2000.0
738|Maruti Swift LDI SP Limited Edition|2016|54631|Diesel|Manual|Primer|25.2 kmpl|1248 CC|74 bhp|5.0|6250.0
739|Maruti Swift VDI BSIV|2007|60000|Diesel|Manual|Segundo|17.8 kmpl|1248 CC|null bhp|5.0|3400.0
740|Tata Nano XTA|2016|24941|Petroleo|Automatico|Primer|21.9 kmpl|624 CC|37.48 bhp|4.0|3190.0
741|Maruti Ertiga VDI|2017|63939|Diesel|Manual|Primer|25.47 kmpl|1248 CC|88.50 bhp|7.0|7750.0
742|Maruti Celerio VXI AMT|2014|35214|Petroleo|Automatico|Segundo|23.1 kmpl|998 CC|67.04 bhp|5.0|3200.0
743|Maruti Swift VDI BSIV|2015|63000|Diesel|Manual|Primer|25.2 kmpl|1248 CC|74 bhp|5.0|4900.0
744|Volkswagen Vento Petrol Highline|2012|121377|Petroleo|Manual|Primer|15.04 kmpl|1598 CC|103.6 bhp|5.0|3800.0
745|Volkswagen Jetta 2007-2011 1.9 Highline TDI|2009|100970|Diesel|Automatico|Primer|15.5 kmpl|1896 CC|105 bhp|5.0|4000.0
746|Mini-Cooper 5 DOOR D|2014|60000|Diesel|Automatico|Segundo|20.7 kmpl|1496 CC|113.98 bhp|5.0|23500.0
747|Tata Indica V2 DLS|2008|77650|Diesel|Manual|Primer|17.2 kmpl|1396 CC|53.5 bhp|5.0|1150.0
748|Hyundai Santro Xing XO|2007|71297|Petroleo|Manual|Primer|17.0 kmpl|1086 CC|null bhp|5.0|2200.0
749|Land Rover Range Rover 3.0 D|2008|55001|Diesel|Automatico|Segundo|0.0 kmpl||||26500.0
750|Honda City i-VTEC CVT VX|2015|18955|Petroleo|Automatico|Primer|18.0 kmpl|1497 CC|117.3 bhp|5.0|10650.0
751|Jaguar XF 2.2 Litre Luxury|2016|47877|Diesel|Automatico|Primer|16.36 kmpl|2179 CC|187.7 bhp|5.0|35680.0
752|Mercedes-Benz E-Class 2015-2017 E250 Edition E|2017|43368|Diesel|Automatico|Primer|15.0 kmpl|2143 CC|204 bhp|5.0|31940.0
753|Chevrolet Cruze LTZ|2011|73000|Diesel|Manual|Tercer|18.3 kmpl|1991 CC|147.9 bhp|5.0|4200.0
754|Mahindra XUV500 W8 2WD|2015|72007|Diesel|Manual|Primer|15.1 kmpl|2179 CC|140 bhp|7.0|9900.0
755|Mercedes-Benz New C-Class C 200 CGI Avantgarde|2014|56778|Petroleo|Automatico|Primer|11.74 kmpl|1796 CC|186 bhp|5.0|15460.0
756|Honda Jazz VX|2018|20024|Petroleo|Manual|Primer|18.2 kmpl|1199 CC|88.7 bhp|5.0|8460.0
757|Toyota Etios G|2013|42103|Petroleo|Manual|Primer|16.78 kmpl|1496 CC|88.73 bhp|5.0|3250.0
758|Maruti Alto LXi BSIII|2012|67147|Petroleo|Manual|Primer|19.7 kmpl|796 CC|46.3 bhp|5.0|2600.0
759|Maruti Swift VXI BSIV|2016|37806|Petroleo|Manual|Primer|20.4 kmpl|1197 CC|81.80 bhp|5.0|5200.0
760|Maruti A-Star Vxi|2009|85000|Petroleo|Manual|Tercer|19.0 kmpl|998 CC|66.1 bhp|5.0|1800.0
761|Tata Nano Lx BSIV|2011|35000|Petroleo|Manual|Primer|25.4 kmpl|624 CC|37.48 bhp|4.0|1600.0
762|Ford Figo Titanium Diesel|2015|72035|Diesel|Manual|Primer|25.5 kmpl|1498 CC|99 bhp|5.0|2500.0
763|Fiat Linea Emotion|2011|48500|Petroleo|Manual|Primer|16.0 kmpl|1368 CC|90 bhp|5.0|2500.0
764|Ford Figo Aspire 1.2 Ti-VCT Trend|2017|28854|Petroleo|Manual|Primer|18.16 kmpl|1196 CC|86.8 bhp|5.0|6700.0
765|Maruti Baleno LXI|2005|92450|Petroleo|Manual|Primer|15.4 kmpl|1590 CC|94 bhp|5.0|1200.0
766|BMW 3 Series 320d Luxury Line|2016|14351|Diesel|Automatico|Primer|18.88 kmpl|1995 CC|184 bhp|5.0|35550.0
767|Chevrolet Cruze LTZ|2017|51087|Diesel|Manual|Primer|17.9 kmpl|1998 CC|163.7 bhp|5.0|7750.0
768|Mahindra Scorpio 2.6 DX|2005|50000|Diesel|Manual|Primer|12.7 kmpl|2609 CC|116.6 bhp|8.0|1940.0
769|Tata Indica V2 eLS|2016|73000|Diesel|Manual|Primer|25.0 kmpl|1396 CC|69 bhp|5.0|2200.0
770|Chevrolet Cruze LTZ AT|2011|60000|Diesel|Automatico|Primer|18.1 kmpl|1991 CC|147.9 bhp|4.0|3800.0
771|Toyota Innova 2.5 V Diesel 8-seater|2016|50000|Diesel|Manual|Primer|12.8 kmpl|2494 CC|102 bhp|8.0|15650.0
772|Mercedes-Benz New C-Class C 220d Avantgarde Edition C|2018|36797|Diesel|Automatico|Primer|19.27 kmpl|2143 CC|167.62 bhp|5.0|39470.0
773|Maruti Ritz VXi|2011|50000|Petroleo|Manual|Segundo|18.5 kmpl|1197 CC|85.80 bhp|5.0|1500.0
774|Toyota Innova 2.5 GX (Diesel) 8 Seater BS IV|2013|94000|Diesel|Manual|Primer|12.8 kmpl|2494 CC|102 bhp|8.0|8850.0
775|Toyota Fortuner 4x4 MT|2013|74000|Diesel|Manual|Segundo|12.55 kmpl|2982 CC|168.5 bhp|7.0|17900.0
776|Hyundai i10 Sportz AT|2014|41016|Petroleo|Automatico|Segundo|16.95 kmpl|1197 CC|78.9 bhp|5.0|5080.0
777|Hyundai Verna 1.6 SX|2012|67000|Diesel|Manual|Primer|22.32 kmpl|1582 CC|126.32 bhp|5.0|6250.0
778|Audi Q3 2012-2015 35 TDI Quattro Premium Plus|2015|76927|Diesel|Automatico|Primer|15.73 kmpl|1968 CC|174.33 bhp|5.0|22750.0
779|Chevrolet Beat LS|2010|17088|Petroleo|Manual|Primer|18.6 kmpl|1199 CC|79.4 bhp|5.0|1460.0
780|Ford Fiesta 1.4 Duratorq ZXI|2007|112808|Diesel|Manual|Segundo|17.8 kmpl|1399 CC|68 bhp|5.0|2050.0
781|Ford Figo Diesel EXI|2014|74980|Diesel|Manual|Primer|20.0 kmpl|1399 CC|68 bhp|5.0|4080.0
782|Maruti Celerio VXI AT|2014|44600|Petroleo|Automatico|Primer|23.1 kmpl|998 CC|67.04 bhp|5.0|4550.0
783|Mercedes-Benz A Class A180 CDI|2013|37000|Diesel|Automatico|Primer|20.0 kmpl|2143 CC|107.3 bhp|5.0|14000.0
784|Hyundai Creta 1.6 SX|2016|21000|Petroleo|Manual|Primer|15.8 kmpl|1591 CC|121.3 bhp|5.0|10900.0
785|Maruti Wagon R VXI BS IV|2010|81245|Petroleo|Manual|Primer|18.9 kmpl|998 CC|67.1 bhp|5.0|2450.0
786|Mercedes-Benz E-Class 2009-2013 E 220 CDI Avantgarde|2013|70000|Diesel|Automatico|Primer|10.0 kmpl|2148 CC|170 bhp|5.0|15800.0
787|Ford EcoSport 1.5 Ti VCT MT Titanium BE|2017|4018|Petroleo|Manual|Primer|18.88 kmpl|1499 CC|110.4 bhp|5.0|8250.0
788|Renault Koleos 2.0 Diesel|2013|70000|Diesel|Automatico|Segundo|13.73 kmpl|1995 CC|148 bhp|5.0|8500.0
789|Mahindra XUV500 W10 2WD|2016|56532|Diesel|Manual|Primer|16.0 kmpl|2179 CC|140 bhp|7.0|15540.0
790|Maruti Omni E 8 Str STD|2013|26875|Petroleo|Manual|Primer|16.8 kmpl|796 CC|34.2 bhp|8.0|2350.0
791|Maruti Wagon R VXI|2015|72599|Petroleo|Manual|Primer|22.5 kmpl|998 CC|67.04 bhp|5.0|4320.0
792|Ford Endeavour XLT TDCi 4X2|2008|205000|Diesel|Manual|Segundo|13.1 kmpl|2499 CC|141 bhp|7.0|3900.0
793|Hyundai Verna 1.6 SX|2011|98000|Diesel|Manual|Segundo|22.32 kmpl|1582 CC|126.32 bhp|5.0|5200.0
794|Hyundai i20 Magna 1.2|2018|19500|Petroleo|Manual|Primer|18.6 kmpl|1197 CC|81.83 bhp|5.0|5850.0
795|Maruti Ertiga ZXI|2013|68000|Petroleo|Manual|Segundo|16.02 kmpl|1373 CC|93.7 bhp|7.0|6250.0
796|Mahindra XUV500 W9 AT|2019|19654|Diesel|Automatico|Primer|14.0 kmpl|2179 CC|155 bhp|7.0|17630.0
797|Maruti SX4 S Cross DDiS 200 Zeta|2017|26000|Diesel|Manual|Primer|23.65 kmpl|1248 CC|88.5 bhp|5.0|9750.0
798|Mercedes-Benz SLK-Class SLK 350|2015|10000|Petroleo|Automatico|Primer|18.1 kmpl|3498 CC|306 bhp|2.0|55000.0
799|Volkswagen Polo Diesel Comfortline 1.2L|2011|75020|Diesel|Manual|Primer|22.07 kmpl|1199 CC|73.9 bhp|5.0|4100.0
800|Toyota Fortuner 4x4 MT|2011|157000|Diesel|Manual|Primer|12.55 kmpl|2982 CC|168.5 bhp|7.0|11990.0
801|Mahindra XUV500 W10 2WD|2017|43773|Diesel|Manual|Primer|16.0 kmpl|2179 CC|140 bhp|7.0|13540.0
802|Mercedes-Benz GLE 250d|2016|21000|Diesel|Automatico|Primer|17.9 kmpl|2143 CC|201.15 bhp|5.0|56000.0
803|Honda Jazz 1.2 VX i VTEC|2016|23280|Petroleo|Manual|Primer|18.7 kmpl|1199 CC|88.7 bhp|5.0|6500.0
804|Maruti Swift Dzire VDI|2013|88000|Diesel|Manual|Primer|23.4 kmpl|1248 CC|74 bhp|5.0|4750.0
805|Hyundai Verna 1.6 SX VTVT|2014|67000|Petroleo|Manual|Primer|17.01 kmpl|1591 CC|121.3 bhp|5.0|5600.0
806|Ford Endeavour 3.2 Titanium AT 4X4|2017|59636|Diesel|Automatico|Primer|10.91 kmpl|3198 CC|197 bhp|7.0|29200.0
807|Hyundai i20 1.2 Asta Option|2018|11000|Petroleo|Manual|Primer|18.6 kmpl|1197 CC|81.83 bhp|5.0|6350.0
808|Honda City 1.5 V MT Sunroof|2013|60669|Petroleo|Manual|Primer|16.8 kmpl|1497 CC|116.3 bhp|5.0|4950.0
809|Honda Amaze VX Diesel|2018|12000|Diesel|Manual|Primer|27.4 kmpl|1498 CC|98.6 bhp|5.0|8500.0
810|Hyundai Verna 1.6 SX VTVT (O)|2013|35000|Petroleo|Manual|Primer|17.1 kmpl|1591 CC|121.3 bhp|5.0|4500.0
811|Honda Mobilio S i DTEC|2015|65000|Diesel|Manual|Primer|24.2 kmpl|1498 CC|98.6 bhp|7.0|5500.0
812|Maruti Ertiga ZDI|2013|39929|Diesel|Manual|Primer|20.77 kmpl|1248 CC|88.8 bhp|7.0|6560.0
813|Maruti Alto K10 LXI|2014|49000|Petroleo|Manual|Primer|24.07 kmpl|998 CC|67.1 bhp|5.0|2300.0
814|Toyota Qualis FS B2|2004|77757|Diesel|Manual|Segundo|13.1 kmpl|2446 CC|75 bhp|10.0|3500.0
815|Hyundai i10 Sportz|2016|21456|Petroleo|Manual|Primer|20.36 kmpl|1197 CC|78.9 bhp|5.0|4550.0
816|Skoda Laura 1.9 TDI AT Ambiente|2009|74000|Diesel|Automatico|Segundo|17.0 kmpl|1896 CC|105 bhp|5.0|7750.0
817|Hyundai i20 Asta Option 1.2|2015|37000|Petroleo|Manual|Segundo|18.6 kmpl|1197 CC|81.83 bhp|5.0|5250.0
818|BMW 5 Series 2003-2012 530d Highline|2013|108640|Diesel|Automatico|Primer|11.5 kmpl|2993 CC|235 bhp|5.0|23290.0
819|BMW 3 Series 320d M Sport|2016|38000|Diesel|Automatico|Primer|22.69 kmpl|1995 CC|190 bhp|5.0|23990.0
820|Chevrolet Aveo 1.4 LT ABS BSIV|2010|80000|Petroleo|Manual|Primer|14.49 kmpl|1399 CC|92.7 bhp|5.0|1790.0
821|Mercedes-Benz E-Class 2009-2013 E250 CDI Elegance|2011|47000|Diesel|Automatico|Segundo|14.21 kmpl|2143 CC|203 bhp|5.0|13900.0
822|Audi A6 2011-2015 2.0 TDI Premium Plus|2013|31000|Diesel|Automatico|Primer|17.68 kmpl|1968 CC|174.33 bhp|5.0|18950.0
823|Maruti Wagon R LXI BS IV|2014|40000|Petroleo|Manual|Primer|20.51 kmpl|998 CC|67.04 bhp|5.0|2490.0
824|Renault KWID RXT|2016|4152|Petroleo|Manual|Primer|25.17 kmpl|799 CC|53.3 bhp|5.0|3150.0
825|Volkswagen Ameo 1.5 TDI Highline|2017|51000|Diesel|Manual|Primer|21.66 kmpl|1498 CC|108.62 bhp|5.0|6450.0
826|Volkswagen Polo Diesel Comfortline 1.2L|2013|55000|Diesel|Manual|Primer|22.07 kmpl|1199 CC|73.9 bhp|5.0|4250.0
827|Maruti Alto 800 LXI|2014|58500|Petroleo|Manual|Primer|22.74 kmpl|796 CC|47.3 bhp|5.0|2750.0
828|Hyundai i20 Asta Option 1.2|2017|58620|Petroleo|Manual|Primer|18.6 kmpl|1197 CC|81.83 bhp|5.0|7140.0
829|Toyota Etios Liva G|2012|29605|Petroleo|Manual|Primer|18.3 kmpl|1197 CC|null bhp|5.0|2440.0
830|Hyundai i20 1.2 Sportz|2012|71172|Petroleo|Manual|Tercer|17.0 kmpl|1197 CC|80 bhp|5.0|3500.0
831|Hyundai i20 1.4 Asta|2017|12000|Diesel|Manual|Primer|22.54 kmpl|1396 CC|88.73 bhp|5.0|7300.0
832|Maruti Wagon R LXI Optional|2014|25000|Petroleo|Manual|Primer|20.51 kmpl|998 CC|67.04 bhp|5.0|2750.0
833|Hyundai i20 1.4 Asta Option|2017|43000|Diesel|Manual|Segundo|22.54 kmpl|1396 CC|88.73 bhp|5.0|8200.0
